Instance ID,use_ml_guidance,use_location_first,use_ML_direct,use_ML_transhipment,ML_Optimization status,ML_Optimality Gap,ML_OFV - Total Costs,ML_Total Solving Time,Stage 1 Feasibility,Stage 2 Feasibility
8R-alpha=021_Flow_50perc_HubCosts_20perc,False,False,False,False,Optimal,5.62114422224808e-07,50230.51,4.090401887893677,Skipped,Feasible
8R-alpha=021_Flow_50perc_HubCosts_20perc,False,True,False,False,Optimal,5.705041901703884e-07,50230.51,7.0393030643463135,Feasible,Feasible
8R-alpha=021_Flow_50perc_HubCosts_20perc,True,False,False,True,Optimal,5.705041898806857e-07,50230.51,4.522624969482422,Skipped,Feasible
8R-alpha=021_Flow_50perc_HubCosts_20perc,True,False,True,False,Optimal,0.0,52810.48,119.03346705436708,Skipped,Feasible
8R-alpha=021_Flow_50perc_HubCosts_20perc,True,False,True,True,Optimal,0.0,52810.48,120.36268997192384,Skipped,Feasible
8R-alpha=021_Flow_50perc_HubCosts_20perc,True,True,False,True,Optimal,5.705041910394967e-07,50230.51,3.6161019802093506,Feasible-Not Solved,Feasible
8R-alpha=021_Flow_50perc_HubCosts_20perc,True,True,True,False,Time Limit,0.0488538133592674,52810.48,120.0439100265503,Feasible,Feasible
8R-alpha=021_Flow_50perc_HubCosts_20perc,True,True,True,True,Optimal,0.0,52810.48,105.3004069328308,Feasible-Not Solved,Feasible
8R-alpha=021_Flow_50perc_HubCosts_5perc,False,False,False,False,Optimal,5.62114422224808e-07,50230.51,4.030602931976318,Skipped,Feasible
8R-alpha=021_Flow_50perc_HubCosts_5perc,False,True,False,False,Optimal,5.705041901703884e-07,50230.51,6.847591161727905,Feasible,Feasible
8R-alpha=021_Flow_50perc_HubCosts_5perc,True,False,False,True,Optimal,0.0,53688.009999999995,81.19216203689575,Skipped,Feasible
8R-alpha=021_Flow_50perc_HubCosts_5perc,True,False,True,False,Optimal,0.0,50438.49999999999,23.63127112388611,Skipped,Feasible
8R-alpha=021_Flow_50perc_HubCosts_5perc,True,False,True,True,Time Limit,0.5100039546280685,78956.31,240.00611686706543,Skipped,Feasible
8R-alpha=021_Flow_50perc_HubCosts_5perc,True,True,False,True,Time Limit,0.4755605943598193,97881.74,120.03947687149048,Feasible,Feasible
8R-alpha=021_Flow_50perc_HubCosts_5perc,True,True,True,False,Optimal,0.0,51234.84999999999,61.793407917022705,Feasible,Feasible
8R-alpha=021_Flow_50perc_HubCosts_5perc,True,True,True,True,Time Limit,,,120.02578902244568,Feasible,Feasible
8R-alpha=021_Flow_60perc_HubCosts_20perc,False,False,False,False,Optimal,0.0,72583.52500000001,30.646226167678833,Skipped,Feasible
8R-alpha=021_Flow_60perc_HubCosts_20perc,False,True,False,False,Time Limit,0.0484803881818422,75591.13,120.09081482887268,Feasible,Feasible
8R-alpha=021_Flow_60perc_HubCosts_20perc,True,False,False,True,Optimal,0.0,72583.52500000001,62.95642709732056,Skipped,Feasible
8R-alpha=021_Flow_60perc_HubCosts_20perc,True,False,True,False,Time Limit,0.2007614680456222,89215.72,240.03089022636416,Skipped,Feasible
8R-alpha=021_Flow_60perc_HubCosts_20perc,True,False,True,True,Time Limit,0.2038397044481845,89215.69705909537,240.05541896820068,Skipped,Feasible
8R-alpha=021_Flow_60perc_HubCosts_20perc,True,True,False,True,Optimal,0.0,72583.52448143906,68.85758090019226,Feasible-Not Solved,Feasible
8R-alpha=021_Flow_60perc_HubCosts_20perc,True,True,True,False,Time Limit,0.2024260535151329,89215.72,120.03478980064392,Feasible,Feasible
8R-alpha=021_Flow_60perc_HubCosts_20perc,True,True,True,True,Time Limit,0.2041617408467806,89215.72,120.03033804893494,Feasible-Not Solved,Feasible
8R-alpha=021_Flow_60perc_HubCosts_5perc,False,False,False,False,Optimal,0.0,72583.52500000001,33.11974906921387,Skipped,Feasible
8R-alpha=021_Flow_60perc_HubCosts_5perc,False,True,False,False,Time Limit,0.0484803881818422,75591.13,120.05897903442384,Feasible,Feasible
8R-alpha=021_Flow_60perc_HubCosts_5perc,True,False,False,True,Optimal,0.0,84556.705,159.6550440788269,Skipped,Feasible
8R-alpha=021_Flow_60perc_HubCosts_5perc,True,False,True,False,Optimal,0.0,72583.52500000001,35.57637810707092,Skipped,Feasible
8R-alpha=021_Flow_60perc_HubCosts_5perc,True,False,True,True,Optimal,0.0,85581.28,134.4310920238495,Skipped,Feasible
8R-alpha=021_Flow_60perc_HubCosts_5perc,True,True,False,True,Time Limit,0.5173248818795836,149774.27000000002,120.02718710899352,Feasible,Feasible
8R-alpha=021_Flow_60perc_HubCosts_5perc,True,True,True,False,Time Limit,0.0606141134366547,76340.515,120.03614902496338,Feasible,Feasible
8R-alpha=021_Flow_60perc_HubCosts_5perc,True,True,True,True,Time Limit,,,120.0424418449402,Feasible,Feasible
9R-alpha=021_Flow_50perc_HubCosts_20perc,False,False,False,False,Optimal,0.0,51672.67,147.68796491622925,Skipped,Feasible
9R-alpha=021_Flow_50perc_HubCosts_20perc,False,True,False,False,Time Limit,0.378237620216422,55582.99,120.03406405448914,Feasible,Feasible
9R-alpha=021_Flow_50perc_HubCosts_20perc,True,False,False,True,Optimal,0.0,51672.67,172.37954306602478,Skipped,Feasible
9R-alpha=021_Flow_50perc_HubCosts_20perc,True,False,True,False,Time Limit,0.6198368540856676,92785.65,240.03522109985352,Skipped,Feasible
9R-alpha=021_Flow_50perc_HubCosts_20perc,True,False,True,True,Time Limit,0.0424769028545792,53283.28,240.03387212753296,Skipped,Feasible
9R-alpha=021_Flow_50perc_HubCosts_20perc,True,True,False,True,Time Limit,0.183555734484297,51672.67,120.03212308883668,Feasible-Not Solved,Feasible
9R-alpha=021_Flow_50perc_HubCosts_20perc,True,True,True,False,Time Limit,0.552491084526434,77050.44000000002,120.01223611831664,Feasible,Feasible
9R-alpha=021_Flow_50perc_HubCosts_20perc,True,True,True,True,Time Limit,0.5602975408781247,78381.12,120.00886106491087,Feasible-Not Solved,Feasible
9R-alpha=021_Flow_50perc_HubCosts_5perc,False,False,False,False,Optimal,0.0,51672.67,145.6420259475708,Skipped,Feasible
9R-alpha=021_Flow_50perc_HubCosts_5perc,False,True,False,False,Time Limit,0.378237620216422,55582.99,120.06505703926086,Feasible,Feasible
9R-alpha=021_Flow_50perc_HubCosts_5perc,True,False,False,True,Time Limit,0.476258868009061,82632.6,240.0100829601288,Skipped,Feasible
9R-alpha=021_Flow_50perc_HubCosts_5perc,True,False,True,False,Time Limit,0.0283649919506474,52509.399999999994,240.0497920513153,Skipped,Feasible
9R-alpha=021_Flow_50perc_HubCosts_5perc,True,False,True,True,Time Limit,0.5353126593773018,82169.19000000002,240.00994396209717,Skipped,Feasible
9R-alpha=021_Flow_50perc_HubCosts_5perc,True,True,False,True,Time Limit,,,120.01163077354433,Feasible,Feasible
9R-alpha=021_Flow_50perc_HubCosts_5perc,True,True,True,False,Time Limit,0.6468275036386552,98700.27000000002,120.00898694992064,Feasible,Feasible
9R-alpha=021_Flow_50perc_HubCosts_5perc,True,True,True,True,Time Limit,,,120.00907111167908,Feasible,Feasible
9R-alpha=021_Flow_60perc_HubCosts_20perc,False,False,False,False,Optimal,0.0,85460.73678234335,2873.6867299079895,Skipped,Feasible
9R-alpha=021_Flow_60perc_HubCosts_20perc,False,True,False,False,Time Limit,0.1761062883463881,85460.74,120.0461540222168,Feasible,Feasible
9R-alpha=021_Flow_60perc_HubCosts_20perc,True,False,False,True,Time Limit,0.1629054026268279,85460.73694456986,240.0586121082306,Skipped,Feasible
9R-alpha=021_Flow_60perc_HubCosts_20perc,True,False,True,False,Time Limit,0.3806341168505427,90681.82000000004,240.03617787361145,Skipped,Feasible
9R-alpha=021_Flow_60perc_HubCosts_20perc,True,False,True,True,Time Limit,0.5164897012080101,115808.73,240.04153394699097,Skipped,Feasible
9R-alpha=021_Flow_60perc_HubCosts_20perc,True,True,False,True,Time Limit,0.1812439216728834,85460.74,120.04234290122986,Feasible-Not Solved,Feasible
9R-alpha=021_Flow_60perc_HubCosts_20perc,True,True,True,False,Time Limit,0.3879327348476268,92176.54,120.03175592422484,Feasible,Feasible
9R-alpha=021_Flow_60perc_HubCosts_20perc,True,True,True,True,Time Limit,0.4165701713759858,97170.28,120.03414011001588,Feasible-Not Solved,Feasible
9R-alpha=021_Flow_60perc_HubCosts_5perc,False,False,False,False,Optimal,0.0,85460.73678234335,2970.240296125412,Skipped,Feasible
9R-alpha=021_Flow_60perc_HubCosts_5perc,False,True,False,False,Time Limit,0.1761062883463881,85460.74,120.04277682304382,Feasible,Feasible
9R-alpha=021_Flow_60perc_HubCosts_5perc,True,False,False,True,Time Limit,0.1241867652791122,103479.685,240.03814911842343,Skipped,Feasible
9R-alpha=021_Flow_60perc_HubCosts_5perc,True,False,True,False,Time Limit,0.1681164534065573,85460.73981684122,240.12693810462952,Skipped,Feasible
9R-alpha=021_Flow_60perc_HubCosts_5perc,True,False,True,True,Time Limit,0.22921871457633,117942.41999999998,240.0535309314728,Skipped,Feasible
9R-alpha=021_Flow_60perc_HubCosts_5perc,True,True,False,True,Time Limit,,,120.0375611782074,Feasible,Feasible
9R-alpha=021_Flow_60perc_HubCosts_5perc,True,True,True,False,Time Limit,0.1762977246820203,85460.74,120.04444098472597,Feasible,Feasible
9R-alpha=021_Flow_60perc_HubCosts_5perc,True,True,True,True,Time Limit,,,120.03047800064088,Feasible,Feasible
